# x y z horizontalRadius verticalRadius
-217.613 -116.361 0.137605 0.561555 0.842332
-91.9776 -117.802 1.1552 3.67066 5.50599
61.4042 -114.977 0.25616 1.56101 2.34151
253.836 -96.921 0.46802 0.655753 0.98363
118.875 -90.372 0.497092 1.65028 2.47542
-199.267 -95.466 0.0600378 2.25259 3.37889
116.579 -94.166 0.108859 2.35829 3.53743
-136.494 -90.401 1.67283 3.52728 5.29093
206.569 -89.599 0 3.04296 4.56444
243.511 -88.481 0 4.51154 6.76731
-129.306 -86.681 0 3.81241 5.71861
-96.023 -87.07 1.46219 4.2057 6.30855
-108.629 -86.839 0.518023 3.11282 4.66923
191.998 -85.322 0.252778 3.28314 4.92471
-80.5296 -85.614 0.884351 1.92305 2.88457
14.396 -105.261 0.475289 0.169315 0.253972
235.775 -111.663 0.0983593 1.26704 1.90056
-226.059 -109.492 0.276611 3.73646 5.60469
47.8251 -110.61 0.649279 2.56779 3.85168
90.671 -107.942 0.443817 0.95779 1.43669
38.7311 -106.802 0.473443 4.34319 6.51478
-75.9031 -107.536 0.416738 4.48924 6.73387
-52.504 -107.211 1.27484 0.239448 0.359171
-163.847 -106.204 0 1.00168 1.50252
257.845 -105.932 0 3.20359 4.80538
15.146 -105.861 0.169557 0.239447 0.359171
-117.101 -105.491 0 4.92762 7.39143
14.696 -105.561 0.33099 0.169315 0.253972
-133.812 -115.627 0 5.39422 8.09133
119.422 -115.47 0.863194 4.07061 6.10591
-210.087 -113.274 0.666722 3.89793 5.84689
-170.33 -111.8 0.0237719 3.45336 5.18005
68.5545 -114.971 0.62656 4.15426 6.23139
242.698 -114.838 0 6.36453 9.5468
147.306 -113.515 0 3.13118 4.69677
-184.844 -110.478 0.851622 3.47818 5.21727
-44.1322 -106.533 0 6.82531 10.238
-159.975 -102.843 0 0.987268 1.4809
78.5105 -102.564 0.676091 3.67066 5.50599
-168.848 -102.01 0.47977 1.56101 2.34151
247.092 -102.194 0 4.36951 6.55426
340.695 -101.594 0.152929 3.17663 4.76494
-185.996 -100.206 1.73687 3.11742 4.67613
-103.386 -100.552 0.624709 3.19014 4.78521
232.254 -100.255 2.33255 3.7594 5.6391
63.4998 -99.969 0 1.23263 1.84895
213.004 -99.091 0.575416 3.74795 5.62192
9.1885 -98.498 0.988524 5.70669 8.56004
239.1 -96.747 1.52985 1.4565 2.18475
-66.2044 -51.029 3.79809 2.66099 3.99149
179.696 -50.061 0.634884 0.169315 0.253972
178.134 -66.026 0.183265 2.68779 4.03169
-115.319 -65.848 1.80011 3.76702 5.65053
-105.016 -65.398 0 3.22588 4.83883
146.604 -63.811 3.05594 1.01589 1.52384
-178.43 -62.192 0.379802 2.15503 3.23254
143.9 -62.661 2.79466 0.846575 1.26986
-4.6065 -61.759 0 5.90907 8.86361
-227.026 -60.202 0.361902 4.56837 6.85256
-126.718 -60.462 1.25144 3.88319 5.82478
146.62 -60.659 0.516933 0.564383 0.846575
-157.491 -60.777 2.30553 2.00336 3.00504
-157.615 -57.577 0 0.564384 0.846575
20.6652 -57.598 1.64526 2.79754 4.19632
333.496 -57.903 0.475911 3.86469 5.79703
48.6768 -58.03 0 3.95632 5.93449
59.0835 -56.516 2.16729 2.3461 3.51915
80.5066 -57.2 2.50505 3.60367 5.4055
217.417 -56.529 2.22178 3.81617 5.72425
354.074 -56.088 0.408056 3.4116 5.1174
170.508 -55.407 0.705877 3.26124 4.89186
-167.124 -52.504 0.561027 3.71723 5.57584
-60.1933 -52.908 2.0832 3.80111 5.70167
238.046 -51.995 0.333587 3.72108 5.58162
260.851 -33.798 2.2603 2.76144 4.14217
-8.254 -29.661 1.40047 0.794158 1.19124
220.063 -16.611 0.287441 0.718343 1.07751
347.89 -26.358 1.51193 1.65894 2.48841
-116.847 -24.775 0.988749 0.775899 1.16385
343.167 -25.153 0 2.8883 4.33244
-205.395 -31.005 0 5.14673 7.7201
-98.1755 -30.442 0.774934 4.88086 7.32129
49.1083 -31.795 0 5.35956 8.03934
-19.5151 -31.716 1.95024 3.29186 4.93779
155.017 -30.975 0.268261 5.76915 8.65372
187.008 -30.583 0.41652 3.11742 4.67613
-159.562 -30.027 0 6.40718 9.61077
171.352 -28.658 2.09967 3.42 5.12999
31.0848 -27.732 0.443685 5.94534 8.91802
1.2129 -24.937 0.336048 4.6276 6.9414
-217.198 -23.238 0 1.63282 2.44922
236.769 -24.153 0.710545 3.3222 4.9833
268.401 -22.872 0.616203 2.18803 3.28205
164.62 -23.003 1.36688 1.3859 2.07885
170.328 -22.737 0.716922 1.90808 2.86212
62.3607 -23.514 1.35534 3.85354 5.78032
274.457 -23.077 0.928371 3.4116 5.1174
-90.696 -21.067 2.41033 4.44109 6.66164
-49.5574 -22.755 1.6552 2.60107 3.9016
-17.751 -21.882 2.39425 3.67846 5.5177
-111.486 -17.688 0 3.4116 5.11741
-46.2715 -18.941 2.54453 2.83318 4.24977
134.816 -20.331 0.28539 0.927376 1.39106
282.003 -19.616 0 2.13498 3.20247
-7.0711 -16.4 0.490967 3.94907 5.92361
-68.0348 -45.423 0 0.610474 0.915711
-177.508 -49.688 0 4.27332 6.40998
-101.596 -48.656 1.61318 3.12201 4.68302
184.113 -48.743 0.0659403 1.85475 2.78213
36.949 -48.352 0.151592 5.20489 7.80733
5.7484 -47.627 0.797935 6.22103 9.33155
180.716 -47.394 0 1.25567 1.88351
224.767 -47.185 2.39997 2.87835 4.31753
-128.668 -46.326 1.34068 3.16307 4.7446
209.264 -46.778 0 6.22333 9.335
-43.7935 -44.469 0.937087 4.87204 7.30806
196.383 -43.962 0.470339 3.03353 4.55029
55.3557 -42.44 0.640382 3.88319 5.82478
254.951 -40.581 0.765055 4.99694 7.49541
234.344 -37.595 0.251273 3.53134 5.29702
186.979 -40.371 0.950728 4.86909 7.30364
102.453 -39.956 0.648648 5.53844 8.30766
-27.2819 -39.84 1.94456 3.8461 5.76915
-185.004 -34.23 0.21248 4.94214 7.41322
-138.314 -35.087 1.7848 4.04589 6.06883
-122.202 -35.343 1.05989 4.04234 6.06351
81.5742 -37.47 0.705867 4.56837 6.85255
15.4093 -34.96 2.35232 3.08042 4.62063
216.453 -31.64 0 5.74674 8.62011
124.905 -76.328 1.28854 1.3439 2.01584
331.688 -75.277 2.00767 2.05283 3.07925
99.3162 -82.488 1.23857 3.75177 5.62765
-151.959 -75.611 1.79501 3.34799 5.02198
-119.932 -78.021 0.64281 0.846575 1.26986
-24.4151 -78.316 1.01684 4.60587 6.9088
267.432 -82.037 0.592964 3.76321 5.64482
111.585 -81.362 0 1.77579 2.66369
